,holding_count,top1_weight,top5_weight,herfindahl
2021-02-01,40,0.025,0.125,0.02500000000000002
2021-03-01,40,0.025,0.125,0.02500000000000002
2021-04-01,40,0.025,0.125,0.02500000000000002
2021-05-06,40,0.025,0.125,0.02500000000000002
2021-06-01,40,0.025,0.125,0.02500000000000002
2021-07-01,40,0.025,0.125,0.02500000000000002
2021-08-02,40,0.025,0.125,0.02500000000000002
2021-09-01,40,0.025,0.125,0.02500000000000002
2021-10-08,40,0.025,0.125,0.02500000000000002
2021-11-01,40,0.025,0.125,0.02500000000000002
2021-12-01,40,0.025,0.125,0.02500000000000002
2022-01-04,40,0.025,0.125,0.02500000000000002
2022-02-07,40,0.025,0.125,0.02500000000000002
2022-03-01,40,0.025,0.125,0.02500000000000002
2022-04-01,40,0.025,0.125,0.02500000000000002
2022-05-05,40,0.025,0.125,0.02500000000000002
2022-06-01,40,0.024999999999999994,0.12499999999999997,0.025000000000000012
2022-07-01,40,0.025,0.125,0.02500000000000002
2022-08-01,40,0.025,0.125,0.02500000000000002
2022-09-01,40,0.025,0.125,0.02500000000000002
2022-10-10,40,0.025,0.125,0.02500000000000002
2022-11-01,40,0.025,0.125,0.02500000000000002
2022-12-01,40,0.025,0.125,0.02500000000000002
2023-01-03,40,0.025,0.125,0.02500000000000002
2023-02-01,40,0.025,0.125,0.02500000000000002
2023-03-01,40,0.025,0.125,0.02500000000000002
2023-04-03,40,0.025,0.125,0.02500000000000002
2023-05-04,40,0.025,0.125,0.02500000000000002
2023-06-01,40,0.025,0.125,0.02500000000000002
2023-07-03,40,0.025,0.125,0.02500000000000002
2023-08-01,40,0.025,0.125,0.02500000000000002
2023-09-01,40,0.025,0.125,0.02500000000000002
2023-10-09,40,0.025,0.125,0.02500000000000002
2023-11-01,40,0.025,0.125,0.02500000000000002
2023-12-01,40,0.025,0.125,0.02500000000000002
2024-01-02,40,0.025,0.125,0.02500000000000002
2024-02-01,40,0.025,0.125,0.02500000000000002
2024-03-01,40,0.025,0.125,0.02500000000000002
2024-04-01,40,0.025,0.125,0.02500000000000002
2024-05-06,40,0.025,0.125,0.02500000000000002
2024-06-03,40,0.025,0.125,0.02500000000000002
2024-07-01,40,0.025,0.125,0.02500000000000002
2024-08-01,40,0.025,0.125,0.02500000000000002
2024-09-02,40,0.025,0.125,0.02500000000000002
2024-10-08,40,0.025,0.125,0.02500000000000002
2024-11-01,40,0.025,0.125,0.02500000000000002
2024-12-02,40,0.025,0.125,0.02500000000000002
2024-12-31,40,0.025,0.125,0.02500000000000002
