date,buy_turnover,sell_turnover,one_way_turnover,cost
2021-02-01,1.0,0.0,0.5,0.0008
2021-03-01,0.42500000000000004,0.425,0.42500000000000004,0.001105
2021-04-01,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.001105
2021-05-06,0.55,0.55,0.55,0.0014299999999999998
2021-06-01,0.42500000000000004,0.425,0.42500000000000004,0.001105
2021-07-01,0.45000000000000007,0.45,0.45,0.0011700000000000002
2021-08-02,0.47500000000000003,0.475,0.475,0.001235
2021-09-01,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.001105
2021-10-08,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.0011049999999999999
2021-11-01,0.425,0.42500000000000004,0.42500000000000004,0.001105
2021-12-01,0.425,0.42500000000000004,0.42500000000000004,0.001105
2022-01-04,0.45000000000000007,0.45000000000000007,0.45,0.00117
2022-02-07,0.55,0.55,0.55,0.0014299999999999998
2022-03-01,0.25,0.25,0.25,0.00065
2022-04-01,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.001105
2022-05-05,0.325,0.32500000000000007,0.325,0.000845
2022-06-01,0.17499999999999996,0.17500000000000024,0.17500000000000007,0.00045500000000000043
2022-07-01,0.6250000000000002,0.6249999999999998,0.625,0.0016249999999999997
2022-08-01,0.6000000000000001,0.6000000000000001,0.6,0.00156
2022-09-01,0.55,0.55,0.55,0.00143
2022-10-10,0.325,0.32500000000000007,0.325,0.0008450000000000003
2022-11-01,0.35000000000000003,0.35000000000000003,0.35,0.00091
2022-12-01,0.4,0.4,0.4,0.00104
2023-01-03,0.55,0.55,0.55,0.00143
2023-02-01,0.65,0.65,0.65,0.0016900000000000005
2023-03-01,0.5,0.5,0.5,0.0013000000000000002
2023-04-03,0.5750000000000001,0.575,0.575,0.0014949999999999998
2023-05-04,0.47500000000000003,0.4750000000000001,0.47500000000000003,0.0012349999999999998
2023-06-01,0.5750000000000001,0.575,0.575,0.0014949999999999998
2023-07-03,0.55,0.55,0.55,0.00143
2023-08-01,0.55,0.55,0.55,0.0014300000000000003
2023-09-01,0.6,0.6000000000000001,0.6000000000000001,0.0015600000000000002
2023-10-09,0.45,0.45000000000000007,0.45000000000000007,0.00117
2023-11-01,0.375,0.37500000000000006,0.375,0.0009750000000000001
2023-12-01,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.001105
2024-01-02,0.35,0.35,0.35000000000000003,0.00091
2024-02-01,0.6,0.6000000000000001,0.6000000000000001,0.0015600000000000002
2024-03-01,0.325,0.32500000000000007,0.32500000000000007,0.000845
2024-04-01,0.47500000000000003,0.475,0.47500000000000003,0.001235
2024-05-06,0.525,0.525,0.525,0.0013650000000000003
2024-06-03,0.4,0.4,0.4,0.0010400000000000001
2024-07-01,0.44999999999999996,0.45,0.45000000000000007,0.00117
2024-08-01,0.5750000000000001,0.575,0.5750000000000001,0.0014950000000000002
2024-09-02,0.55,0.55,0.55,0.0014300000000000003
2024-10-08,0.55,0.55,0.55,0.0014299999999999998
2024-11-01,0.6250000000000001,0.625,0.6250000000000001,0.001625
2024-12-02,0.525,0.525,0.5250000000000001,0.001365
2024-12-31,0.7000000000000001,0.7,0.7000000000000001,0.0018199999999999998
