,weighted_log_size
2021-02-01,23.750210152393407
2021-03-01,23.94838821835207
2021-04-01,23.852492798086843
2021-05-06,24.37300809509943
2021-06-01,24.245403364766624
2021-07-01,24.263442987386632
2021-08-02,24.057531564326844
2021-09-01,24.22489686308322
2021-10-08,24.06210631226971
2021-11-01,24.129614639554205
2021-12-01,24.432386736632864
2022-01-04,24.402075701012166
2022-02-07,23.975953733344525
2022-03-01,24.191691413679507
2022-04-01,23.717971291073585
2022-05-05,24.18055280912003
2022-06-01,24.671845236464005
2022-07-01,24.203203958471832
2022-08-01,24.18819834102381
2022-09-01,24.125045225666064
2022-10-10,23.86414892375523
2022-11-01,24.49794892074091
2022-12-01,24.140271444756948
2023-01-03,24.17377646369412
2023-02-01,24.76815088959186
2023-03-01,24.752383772231155
2023-04-03,24.63808552533287
2023-05-04,24.668190382314382
2023-06-01,24.467776505344688
2023-07-03,24.592128430458637
2023-08-01,24.442378647139
2023-09-01,24.836390229664858
2023-10-09,24.49565750576312
2023-11-01,24.629601527666317
2023-12-01,24.657449872051703
2024-01-02,24.608022691595643
2024-02-01,24.208668110114996
2024-03-01,24.732644857072376
2024-04-01,24.547556138978862
2024-05-06,24.68991299784116
2024-06-03,24.73213373472466
2024-07-01,24.63560819090021
2024-08-01,24.793407637282087
2024-09-02,24.643796853252553
2024-10-08,24.99068230899914
2024-11-01,25.004939231319497
2024-12-02,24.85599633793123
2024-12-31,24.63946474986582
